"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"AMP-HPT3F","HPT3F","Amphenol HPT-3-F outlet inline","0","R 206.00"
"AMP-HPT3FD","HPT3F","Amphenol HPT-3-FD outlet panelmount","50","R 219.00"
"AMP-HPT3M","HPT3M","Amphenol HPT-3-M inlet inline","0","R 197.00"
"AMP-KM2P","KM2P","Amphenol 3.5mm Mono Phone plug, Diecast Shell, Satin finish","109","R 63.00"
"AMP-KS3P","KS3P","Amphenol 3.5mm Stereo Phone plug, Diecast Shell, Satin finish","305","R 71.00"
"AMP-KS3PB","KS3PB","Amphenol 3.5mm Stereo Phone plug, Diecast Shell, Black finish","0","R 73.00"
"AMP-RJX8FD5T","RJX8FD5T","Amphenol XLRnet D Type Feed through CAT5E","0","R 280.00"
"AMP-RJX8FD6I","RJX8FD6I","Amphenol XLRnet D Type IDC punch down terminals CAT6","132","R 299.00"
"AMP-RJX8M","RJX8M","Amphenol XLRnet, XLR cable plug housing to suit preassembled RJ45, Nickel","7","R 108.00"
"AMP-SP2F","SP2F","Amphenol Speaker Plug 2 Pole","705","R 122.00"
"AMP-SP2MD","SP2MD","Amphenol Speaker Plug 2 pole, D flange, Thru holes, Solder tabs","0","R 50.00"
"AMP-SP4F","SP4F","Amphenol Speaker Plug 4 Pole","977","R 145.00"
"AMP-SP4FL","SP4FL","Amphenol 4 pole, Cable connector shell, Blue sleeve, PG Gland, Black","0","R 226.00"
"AMP-SP4FN","SP4FN","Amphenol Speaker Plug 4 Pole Metal nickel shell","0","R 204.00"
"AMP-SP4FNSG","SP4FNSG","Amphenol Speaker Plug 4 Pole Metal nickel shell PG Gland","17","R 224.00"
"AMP-SP4MC","SP4MC","Amphenol Speaker panel mount 4 Pole connector (round, solder termination)","253","R 140.00"
"AMP-SP4MD","SP4MD","Amphenol Speaker Plug 4 pole, D flange, Thru holes, Solder tabs","0","R 61.00"
"AMP-TM1P","TM1P","Amphenol SwitchPlug 1/4" (6.35mm) Mono Phone plug","0","R 272.00"
"AMP-TM1RJ","TM1RJ","Amphenol SwitchPlug 1/4" (6.35mm) Mono Phone plug, Right angle","57","R 305.00"
"AMP-TM2P","TM2P","Amphenol Mono Jack diecast, Thermoplastic Back, Satin finish","606","R 106.00"
"AMP-TM2PB","TM2PB","Amphenol Mono Jack diecast, Thermoplastic Back, Black finish","0","R 108.00"
"AMP-TM2PBJ","TM2PBJ","Amphenol Mono Jack diecast, Thermoplastic back, black, L JAWS","0","R 108.00"
